"","race","age_r","gender","sup_hash","sup_letter","sup_donate","sup_authority","sup_prosecute","sup_access","sup_training","ntv_invisibility_1","ntv_invisibility_2","ntv_invisibility_3","ntv_invisibility_4","ntv_invisibility_5","ntv_invisibility_6","invisibility1_13","invisibility1_14","invisibility1_15","invisibility1_16","invisibility1_17","invisibility1_18","in_violence","racism_mini_1","racism_mini_2","racism_mini_3","racism_mini_4","racism_mini_5","racism_mini_6","racism_mini_7","racism_mini_8","racism_mini_9","racism_mini_10","ab_activists","ab_sex_work","ab_non_native_pers","ab_rez","ab_citizens","ab_runaways","ab_drug","ab_male_worker","ab_criminal","ab_two_parent","ab_tribal_police","ab_poverty","ab_native_comm","ab_society","ab_abusive","ab_laws","Support","Invsibility","VictimBlaming","StructuralForces","RaceMini"
"74",1,27,1,4,3,3,5,5,5,5,5,3,3,5,7,6,4,3,4,6,7,5,6,5,6,3,5,6,7,5,2,3,4,2,4,4,5,5,4,4,3,3,3,6,5,6,4,4,5,4.28571428571429,5.16666666666667,3.66666666666667,4.5,2.8
"75",3,49,2,4,3,2,4,4,3,3,5,3,2,5,4,6,2,3,2,6,6,5,3,5,3,4,3,4,3,2,3,4,2,2,4,5,1,5,4,3,4,3,4,5,3,4,4,4,5,3.28571428571429,4.41666666666667,2.83333333333333,4.66666666666667,4.3
"76",3,29,1,4,2,3,4,4,4,2,6,6,4,3,6,4,6,2,6,6,4,6,6,6,5,6,6,3,6,3,4,6,6,3,3,6,4,4,6,7,6,6,4,6,6,4,3,3,6,3.28571428571429,4.91666666666667,4.83333333333333,5.5,4.5
"77",3,34,2,4,2,3,4,5,4,4,2,5,2,3,5,3,2,2,2,5,3,3,2,2,7,1,6,7,6,6,1,4,2,2,2,5,2,6,2,2,6,2,5,6,5,3,6,4,6,3.71428571428571,3.25,2,5.16666666666667,1.8
"78",3,31,2,4,4,3,5,5,4,4,5,2,3,7,7,7,7,7,7,5,7,5,1,2,7,2,2,6,7,5,2,5,2,1,1,5,1,6,1,1,6,1,4,7,6,5,7,4,5,4.14285714285714,5.58333333333333,1,5,2.6
"79",8,28,1,5,5,5,5,5,5,5,2,7,1,6,5,7,7,1,2,7,7,7,5,1,6,1,7,7,7,7,1,1,4,1,4,4,4,7,4,4,4,4,4,6,7,7,7,6,4,5,4.91666666666667,3.5,4.33333333333333,1.4
"80",3,44,2,5,4,3,5,5,5,5,2,6,2,6,5,3,2,3,2,5,5,5,5,1,7,1,7,7,7,6,1,5,1,1,4,4,2,7,2,4,4,4,4,5,6,4,6,4,5,4.57142857142857,3.66666666666667,2.83333333333333,4.5,1.5
"81",1,31,1,4,3,4,4,4,4,4,1,5,2,2,3,4,4,2,2,6,3,4,5,2,6,6,4,6,4,4,2,2,2,2,1,4,4,6,1,1,2,6,4,6,6,5,7,5,5,3.85714285714286,3.33333333333333,2.5,4,3
"82",1,46,1,3,3,4,3,3,3,3,3,4,2,4,4,4,3,4,3,5,5,4,3,4,4,3,5,5,4,4,4,4,4,2,4,4,4,6,3,3,4,3,4,4,4,3,4,4,4,3.14285714285714,3.75,3.16666666666667,4.33333333333333,3.7
"83",2,32,2,3,3,3,3,4,3,3,4,4,5,4,4,5,3,4,4,4,4,4,3,4,3,4,3,4,3,5,4,4,4,5,4,4,5,4,5,5,6,4,4,4,4,4,2,3,4,3.14285714285714,4.08333333333333,4.66666666666667,4.66666666666667,4.2
"84",3,53,2,3,2,3,4,4,2,2,3,5,5,5,6,6,2,5,6,3,6,6,2,3,6,2,6,5,4,3,3,4,3,2,2,2,2,6,3,3,6,2,5,5,5,5,3,3,6,2.85714285714286,4.5,2.33333333333333,5,3.1
"85",3,36,1,1,1,1,5,5,5,2,3,3,5,6,7,7,5,3,7,7,7,5,5,7,3,7,3,1,4,3,3,5,3,3,4,4,4,5,1,2,4,3,4,4,3,4,1,1,4,2.85714285714286,5.75,2.83333333333333,4.66666666666667,5.1
"86",1,50,2,2,2,3,3,3,2,2,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,6,4,4,5,4,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2.42857142857143,4.66666666666667,3.66666666666667,4.16666666666667,4.1
"87",3,49,1,3,2,3,5,5,2,2,5,6,2,5,6,3,6,2,2,6,6,6,2,2,6,2,5,5,4,5,3,2,3,2,4,4,2,6,4,4,4,4,4,7,6,2,5,5,5,3.14285714285714,4.58333333333333,3.33333333333333,4.83333333333333,2.7
"88",3,25,1,2,2,4,2,4,4,2,6,6,2,5,6,5,3,6,3,5,2,5,6,5,5,5,5,6,2,2,2,5,3,6,3,6,5,5,2,5,3,2,2,5,6,3,3,5,6,2.85714285714286,3.83333333333333,3.83333333333333,5,4
"89",3,26,1,3,2,1,3,2,2,1,5,4,2,5,7,6,5,2,7,7,7,6,6,2,6,3,6,5,5,2,2,3,4,2,2,5,4,5,3,2,2,4,5,6,6,2,5,5,7,2,5.58333333333333,2.83333333333333,4.66666666666667,3
"90",3,29,2,5,5,5,5,5,5,5,1,7,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,7,7,1,1,1,1,1,1,1,1,5,1,1,1,4,5,1,2,3.5,3.1
"91",3,68,1,3,3,3,4,4,3,4,4,5,2,5,4,3,3,3,3,4,5,4,3,2,5,3,5,5,6,5,2,3,3,2,3,4,4,6,4,4,4,3,4,4,5,4,6,4,5,3.42857142857143,3.75,3.33333333333333,4.16666666666667,2.7
"92",3,28,1,5,4,4,5,3,3,3,5,3,3,4,3,5,5,3,3,3,3,4,3,5,3,5,5,4,3,3,3,3,3,5,3,5,4,3,4,5,5,3,6,4,4,3,5,3,3,3.85714285714286,4,4,3.83333333333333,4.1
"93",3,28,2,2,2,2,5,5,4,4,2,7,1,5,6,5,5,1,2,5,6,4,2,2,6,2,6,7,7,6,2,4,4,1,1,6,2,6,1,1,6,2,2,2,3,4,5,2,4,3.42857142857143,4.08333333333333,1.33333333333333,4.5,2.2
"94",2,25,1,5,4,5,4,3,4,4,4,5,3,5,4,4,6,5,4,5,5,5,5,5,5,6,4,5,3,4,5,4,5,3,5,5,5,5,6,4,4,4,4,5,6,4,6,5,4,4.14285714285714,4.25,4.5,4.16666666666667,4.4
"95",3,31,1,2,3,3,4,5,4,3,5,5,2,7,7,6,6,2,6,6,7,5,5,1,6,1,6,7,7,6,1,1,2,2,2,5,2,5,2,2,4,1,1,5,5,1,6,4,4,3.42857142857143,5.5,1.83333333333333,4.16666666666667,1.4
"96",2,48,2,4,5,5,5,4,5,4,6,6,5,5,4,6,6,5,7,6,7,5,6,6,5,7,6,6,5,6,5,7,6,7,7,6,6,6,6,5,5,5,7,7,6,5,6,6,6,4.57142857142857,5.16666666666667,6,5.33333333333333,4.3
"97",3,30,1,1,1,1,5,5,1,1,1,7,1,2,3,2,2,4,2,4,5,4,5,7,7,5,7,7,7,7,1,1,1,3,2,4,2,6,2,2,5,2,2,5,6,5,5,5,4,2.14285714285714,2.58333333333333,2.16666666666667,4.5,2
"98",3,53,1,1,1,1,1,1,4,1,2,3,2,2,5,2,5,6,2,6,6,6,6,6,6,5,5,3,4,2,7,1,6,7,4,2,5,6,4,5,5,5,6,7,6,6,1,5,4,1.42857142857143,3.75,5,5.16666666666667,4.5
"99",3,44,1,4,4,3,5,5,5,5,1,6,4,5,5,4,2,5,2,4,3,3,5,3,7,3,6,7,7,5,1,1,3,1,1,5,1,7,1,1,6,1,1,7,5,4,6,1,6,4.42857142857143,3.16666666666667,1,5.5,1.9
"100",3,26,2,2,2,3,3,3,3,3,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,2.71428571428571,4.16666666666667,3.5,4.16666666666667,3.9
"101",3,45,2,4,3,4,5,5,4,5,1,6,1,6,1,1,1,6,1,6,3,1,1,1,7,1,7,7,7,7,1,1,1,1,3,3,2,6,2,2,5,3,5,6,5,5,6,5,5,4.28571428571429,2.16666666666667,2.16666666666667,4.5,1
"102",3,41,1,5,3,4,5,4,5,4,2,7,1,5,5,2,3,6,1,1,3,4,1,7,6,1,7,7,7,5,1,1,1,1,3,4,1,7,1,2,4,1,2,5,5,5,5,4,5,4.28571428571429,2.5,1.5,4.66666666666667,1.9
"103",3,30,1,4,2,2,3,3,3,3,3,2,3,5,4,5,3,3,2,6,6,4,6,3,5,3,5,6,4,5,2,2,3,3,4,3,3,5,2,2,5,3,2,4,3,3,5,2,4,2.85714285714286,4.33333333333333,2.83333333333333,4,2.8
"104",4,35,1,1,2,3,5,5,5,5,2,6,1,7,7,5,6,7,1,6,5,7,6,1,7,1,7,7,7,7,1,1,1,1,2,7,1,7,1,1,6,1,1,7,7,1,7,5,6,3.71428571428571,4.16666666666667,1.16666666666667,5.66666666666667,1
"105",2,41,2,5,3,4,5,5,5,5,3,6,2,6,5,2,1,6,1,2,3,3,2,1,7,1,7,7,6,6,1,2,3,1,1,5,1,7,2,2,4,1,7,5,7,1,7,4,6,4.57142857142857,2.66666666666667,1.33333333333333,4.66666666666667,1.5
"106",3,28,1,3,1,3,5,5,5,4,1,7,1,6,7,5,1,7,2,4,5,5,5,1,7,1,7,7,7,7,1,1,1,1,1,4,1,6,1,1,4,1,1,4,3,4,5,1,4,3.71428571428571,3.25,1,4.16666666666667,1
"107",3,26,2,3,1,4,3,2,3,4,4,3,3,3,5,4,5,2,5,3,6,5,5,2,3,4,5,5,3,3,3,3,4,2,3,5,6,3,2,2,4,2,5,2,4,3,4,3,2,2.85714285714286,4.5,2.83333333333333,3.33333333333333,3.7
"108",3,34,2,4,2,3,4,4,3,3,2,5,2,5,4,2,2,5,1,3,5,3,2,1,4,2,6,6,5,5,1,1,2,1,2,5,1,6,2,2,2,2,3,5,6,1,4,2,5,3.28571428571429,2.91666666666667,1.66666666666667,4.5,2.1
"109",4,28,1,5,5,5,5,5,5,5,1,4,4,1,7,7,4,1,6,7,6,7,2,1,7,1,7,7,7,7,1,1,1,1,1,1,1,7,1,1,1,1,7,2,7,7,7,7,7,5,5.08333333333333,1,3.16666666666667,1
"110",8,29,1,3,4,2,3,4,3,3,3,5,5,5,4,4,3,4,3,4,5,5,4,5,3,5,5,4,3,5,6,4,4,5,5,4,6,4,4,4,5,4,6,3,5,4,5,4,4,3.14285714285714,4,4.66666666666667,3.83333333333333,4.4
"111",3,34,2,4,3,3,5,4,2,4,7,6,2,6,5,5,3,2,5,5,6,5,5,3,5,4,3,2,6,3,5,3,4,1,4,4,3,5,3,4,5,4,3,6,7,2,3,4,5,3.57142857142857,4.75,3.16666666666667,5,4
"112",3,31,1,3,3,2,3,3,2,4,6,5,6,6,6,6,3,5,2,2,2,2,3,2,3,5,7,2,3,5,2,2,6,2,5,2,2,7,2,3,1,1,3,3,3,2,2,2,3,2.85714285714286,3.91666666666667,2.5,3.66666666666667,3.7
"113",3,59,1,5,5,4,5,5,5,5,1,6,1,5,5,3,2,5,2,3,5,3,2,3,6,3,5,6,6,2,1,2,2,1,4,5,2,7,3,4,5,2,5,6,5,2,6,5,6,4.85714285714286,2.91666666666667,2.66666666666667,5.16666666666667,2.6
"114",4,36,2,5,4,5,5,5,5,5,5,4,5,5,5,5,6,4,6,6,6,4,4,6,4,6,2,4,7,4,2,4,3,2,2,5,4,7,2,2,4,2,2,4,2,4,4,3,6,4.85714285714286,5.08333333333333,2.33333333333333,5,4
"115",8,33,1,3,2,3,3,3,4,4,3,4,2,5,6,6,3,5,3,6,5,5,5,3,4,3,5,6,6,4,2,3,4,1,2,2,4,6,2,2,4,2,5,4,4,4,3,4,4,3.14285714285714,4.25,2.16666666666667,4.16666666666667,3
"116",2,32,1,3,5,4,5,4,3,4,5,7,4,6,6,6,5,7,6,5,6,7,7,6,7,7,7,6,5,6,6,6,5,6,7,7,6,5,5,6,6,5,7,6,6,6,6,5,7,4,4.83333333333333,5.83333333333333,5.5,3.9
"117",3,30,1,1,1,2,4,4,4,3,3,6,1,4,3,4,4,4,3,2,4,2,1,3,5,4,5,6,6,6,2,2,2,1,4,4,1,6,4,4,4,4,1,4,4,1,3,4,4,2.71428571428571,3,3,4.5,2.5
"118",3,28,1,5,3,4,5,5,5,5,5,3,1,6,7,5,2,6,1,6,7,5,6,1,7,1,7,7,7,7,1,1,1,1,1,6,1,7,1,1,7,1,7,7,7,4,7,4,7,4.57142857142857,4.33333333333333,1,5.83333333333333,1
"119",3,31,1,2,2,3,5,1,5,4,2,5,1,5,5,4,2,6,5,3,6,5,5,1,7,1,7,7,7,7,1,1,1,1,1,4,1,6,1,1,4,1,1,7,6,1,1,4,4,3.14285714285714,3.58333333333333,1,5.33333333333333,1
"120",3,29,1,5,5,5,5,5,5,5,1,7,1,6,2,2,2,1,1,2,5,1,5,2,7,1,7,7,7,7,1,2,1,1,1,5,1,7,2,2,5,2,1,6,6,1,7,2,5,5,2.58333333333333,1.5,4.83333333333333,1.2
"121",2,43,2,5,3,4,5,3,5,3,2,5,2,3,5,5,2,5,2,5,6,3,5,3,6,3,3,5,6,3,3,3,3,1,2,2,5,7,2,3,3,2,2,3,5,3,5,4,3,4,3.41666666666667,2.5,3.5,3.2
"122",3,45,1,4,3,3,5,4,4,4,2,5,2,5,3,2,3,2,3,2,4,2,6,5,3,4,3,4,3,4,3,3,4,1,4,2,2,5,1,2,2,1,3,3,4,2,5,4,3,3.85714285714286,3.08333333333333,1.83333333333333,3,4.2
"123",3,44,2,3,3,3,3,4,3,2,5,4,4,3,5,5,5,4,4,4,3,5,5,4,3,3,4,3,3,5,4,4,3,5,5,4,4,4,5,5,4,4,4,5,5,4,4,4,4,3,4.25,4.66666666666667,4.16666666666667,4
"124",2,30,1,4,4,5,5,5,5,4,6,7,7,7,6,6,6,5,6,7,5,6,7,7,7,7,5,5,6,7,6,6,6,7,7,6,6,6,6,7,5,5,7,6,5,6,7,6,6,4.57142857142857,5.5,6.33333333333333,5,4.2
"125",3,28,1,2,1,2,3,3,2,2,2,4,2,3,3,3,3,5,2,4,4,4,2,4,5,3,5,4,3,4,2,2,3,2,5,4,2,5,4,3,4,3,4,2,4,2,3,4,3,2.14285714285714,3.08333333333333,3.16666666666667,3.83333333333333,3.3
"126",3,30,2,5,5,5,5,5,5,5,4,4,4,6,5,6,5,5,7,5,5,6,2,7,2,5,4,5,4,2,5,5,6,1,2,5,2,7,2,2,4,NA,4,2,5,5,5,1,4,5,5,1.8,4.16666666666667,5.1
"127",3,NA,1,1,1,1,5,5,3,3,5,2,5,7,7,7,1,3,7,6,7,5,5,2,6,3,6,6,6,4,2,3,2,2,5,4,2,7,5,5,7,5,6,7,6,3,2,6,7,2.71428571428571,5.66666666666667,4,6.33333333333333,2.4
"128",3,33,2,5,5,4,5,5,5,5,2,5,1,2,6,2,3,4,1,3,3,3,1,2,7,2,6,6,6,6,2,2,2,1,4,5,2,7,1,1,5,1,2,6,5,1,2,1,7,4.85714285714286,2.75,1.66666666666667,6,1.9
"129",3,29,1,1,1,3,3,2,1,1,2,6,3,1,3,5,5,2,2,2,5,4,1,5,5,5,3,3,6,1,2,2,2,2,4,5,2,7,2,1,5,1,3,6,5,1,1,5,4,1.71428571428571,3.33333333333333,2,5.66666666666667,3.8
"130",1,23,1,1,1,1,1,1,1,1,5,3,3,2,6,5,4,4,6,4,3,6,5,5,3,4,3,4,6,2,4,5,6,4,4,3,2,5,1,4,3,5,3,1,6,4,2,3,4,1,4.41666666666667,3.33333333333333,3.66666666666667,4.6
"131",1,30,2,4,3,3,5,5,4,5,4,5,2,5,6,6,5,4,5,5,6,4,2,4,6,2,6,6,6,6,3,5,4,2,2,6,2,6,1,3,6,2,4,6,6,2,6,5,6,4.14285714285714,4.58333333333333,2,5.33333333333333,2.8
"132",3,33,2,1,2,2,1,1,1,2,5,4,1,5,6,6,6,2,5,6,7,7,4,1,3,4,3,6,3,2,2,4,6,1,4,2,1,5,3,2,1,3,5,4,4,2,1,6,2,1.42857142857143,5.33333333333333,2.33333333333333,3.5,4
"133",7,51,2,5,5,5,5,5,5,5,1,7,1,2,2,1,4,4,1,1,5,4,1,2,7,1,7,7,7,7,1,1,1,1,1,6,1,6,3,2,6,1,1,4,1,1,7,1,7,5,2.25,1.5,5,1.1
"134",2,30,1,4,4,4,3,4,5,5,5,7,4,7,7,6,4,6,7,7,6,7,4,7,7,7,4,5,4,6,7,7,6,5,7,6,7,7,6,5,4,5,6,4,6,5,7,7,5,4.14285714285714,5.25,5.83333333333333,4.5,4.8
"135",3,66,1,4,5,5,5,5,4,4,2,6,1,5,5,3,2,6,2,2,2,6,3,5,7,2,5,6,6,5,3,3,3,5,6,6,2,7,5,1,6,2,6,6,7,6,6,6,7,4.57142857142857,2.83333333333333,3.5,5.66666666666667,2.7
"136",3,25,1,2,3,2,4,4,2,4,7,6,4,3,5,3,1,3,5,3,2,2,2,7,7,4,6,6,6,6,7,2,5,6,4,7,6,4,2,2,3,5,5,6,3,4,5,6,6,3,3.5,4.16666666666667,4.83333333333333,3.4
"137",2,30,1,4,3,5,4,4,4,5,5,5,7,6,6,7,5,6,6,5,7,6,6,7,6,7,5,5,5,6,7,6,5,7,6,5,5,6,5,7,7,7,3,3,7,5,7,5,7,4.14285714285714,5.41666666666667,6.16666666666667,4.83333333333333,4.5
"138",8,59,2,5,4,3,4,5,3,5,1,7,1,5,3,1,2,6,1,4,3,4,1,1,7,1,7,7,7,7,1,1,1,1,2,7,1,7,2,2,7,1,1,6,2,2,7,1,7,4.14285714285714,2.33333333333333,1.5,5.83333333333333,1
"139",3,48,2,5,5,5,5,5,5,5,1,6,1,1,2,2,1,1,2,1,1,1,1,7,2,7,1,2,2,2,6,2,6,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1.83333333333333,1.16666666666667,2.66666666666667,5.9
"140",3,30,1,2,1,2,3,2,4,1,3,5,5,2,2,2,6,3,6,4,5,6,5,6,2,6,2,2,2,4,6,4,6,4,6,2,4,3,6,6,2,5,5,6,7,4,2,6,2,2.14285714285714,4.08333333333333,5.16666666666667,3.5,5.6
"141",3,22,1,3,4,4,4,4,4,3,4,6,2,3,7,4,4,3,3,4,4,2,2,3,5,3,5,5,5,5,3,4,3,2,3,4,2,5,4,2,5,2,4,4,4,2,2,4,5,3.71428571428571,3.66666666666667,2.5,4.83333333333333,3.1
"142",4,21,2,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,5,5,5,2,5,2,2,5,2,2,5,2,2,2,2,5,3.28571428571429,3.25,3,5.16666666666667,3.9
"143",6,40,1,5,4,5,3,4,4,4,5,4,4,4,5,4,5,5,5,4,5,5,2,5,5,7,4,5,4,5,4,5,4,4,4,4,5,5,3,3,4,4,4,4,4,4,3,3,5,4.14285714285714,4.41666666666667,3.83333333333333,4.5,4.2
"144",3,29,1,3,2,3,4,4,4,4,2,6,2,2,3,2,4,3,2,2,5,3,2,5,4,5,3,4,4,3,2,3,3,4,4,6,2,4,4,4,4,4,4,3,5,4,2,4,4,3.42857142857143,2.83333333333333,3.66666666666667,4.5,4
"145",4,31,2,4,3,4,4,4,4,4,2,6,2,5,5,2,2,NA,2,2,5,2,2,2,5,2,6,6,2,2,2,2,2,2,2,5,2,6,2,1,6,2,2,5,2,2,6,2,2,3.85714285714286,2.81818181818182,1.83333333333333,4.33333333333333,2.9
"146",3,43,1,4,4,4,4,4,4,4,4,4,3,3,5,2,3,3,3,4,3,3,2,3,5,3,5,5,5,5,3,3,3,2,2,5,2,6,3,2,3,2,5,5,5,2,6,2,2,4,3.5,2.16666666666667,3.83333333333333,3
"147",4,20,1,2,4,2,2,4,3,1,6,2,6,6,6,7,7,2,6,5,6,6,3,4,3,2,2,3,2,6,3,4,2,4,3,3,4,5,2,2,6,3,4,7,4,3,6,4,5,2.57142857142857,6.08333333333333,3,4.66666666666667,3.9
"148",3,40,1,3,4,2,2,3,1,2,5,5,3,4,3,3,5,3,5,5,5,3,6,2,3,3,3,5,3,5,3,4,3,2,3,2,2,3,2,2,5,3,3,3,3,5,3,3,3,2.42857142857143,4.08333333333333,2.33333333333333,3.5,3.6
"149",3,22,1,4,2,4,4,4,5,4,5,5,2,5,6,5,3,5,5,3,5,2,1,1,7,1,7,7,7,7,1,5,1,1,7,7,1,6,1,1,5,1,1,7,6,1,7,1,6,3.85714285714286,3.91666666666667,2,5.33333333333333,1.4
"150",3,26,1,5,5,5,5,5,5,5,4,6,1,6,6,6,6,2,6,6,5,6,6,2,4,2,6,7,7,4,4,4,4,1,4,4,4,7,4,4,4,4,4,6,4,6,6,4,4,5,5,3.5,4.5,2.8
"151",2,37,2,3,3,3,3,3,3,3,5,5,2,6,6,6,6,6,6,6,6,6,6,2,7,1,7,7,7,7,1,1,2,6,2,2,2,6,2,2,2,6,2,6,6,6,7,2,2,3,5,3.33333333333333,3.16666666666667,1.2
"152",3,31,1,4,3,5,5,5,3,5,2,6,1,5,5,3,4,4,1,5,5,4,3,1,7,1,7,7,7,7,1,4,1,1,4,5,2,7,2,4,5,4,1,5,4,2,6,4,7,4.28571428571429,3.41666666666667,2.83333333333333,5.16666666666667,1.3
"153",3,59,1,3,3,4,4,5,5,5,3,6,2,4,5,5,3,5,5,3,5,3,5,3,4,3,5,5,5,3,3,3,3,2,2,5,2,6,2,2,5,2,3,6,6,2,5,3,5,4.14285714285714,3.58333333333333,2,5,3.3
"154",3,40,1,5,4,5,5,5,5,3,7,6,7,6,5,3,3,5,7,7,6,5,6,6,7,7,6,5,6,5,5,3,4,6,7,7,5,7,4,5,6,7,5,5,7,6,7,7,6,4.57142857142857,5.08333333333333,5.66666666666667,5.33333333333333,3.6
"155",3,31,2,3,3,3,4,4,2,3,2,2,1,1,2,1,5,3,3,2,4,2,1,7,5,5,5,3,5,3,2,2,3,2,2,5,4,5,4,1,5,3,3,5,5,4,3,5,3,3.14285714285714,2.83333333333333,2.66666666666667,4.66666666666667,3.8
"156",2,30,1,4,5,4,3,4,3,5,6,4,5,7,7,6,6,6,7,6,5,6,6,6,6,6,6,6,4,6,6,6,4,5,7,5,6,5,6,5,5,6,6,6,4,6,6,6,5,4,5.58333333333333,5.83333333333333,4.66666666666667,4
"157",3,51,2,3,4,3,5,5,5,5,3,4,2,5,6,6,5,2,6,6,6,6,6,2,6,2,6,6,6,5,2,2,2,2,2,4,2,6,2,2,4,2,6,4,6,4,6,5,5,4.28571428571429,5.08333333333333,2,4.16666666666667,2.1
"158",4,22,1,4,2,2,3,2,4,3,3,5,2,7,5,4,5,6,4,6,5,3,5,3,6,5,4,5,2,6,5,4,5,2,3,5,3,4,6,3,4,3,5,4,5,2,2,3,4,2.85714285714286,4.08333333333333,3.33333333333333,4.5,3.9
"159",2,27,1,3,4,2,2,5,4,3,6,4,4,6,6,4,6,4,6,6,6,6,6,5,6,2,6,6,5,6,2,4,3,2,4,5,2,4,3,4,4,2,5,6,6,2,6,5,4,3.28571428571429,5.33333333333333,2.83333333333333,4.16666666666667,2.7
"160",3,33,2,4,3,4,5,5,5,4,2,5,2,6,5,2,3,6,2,2,5,4,1,1,7,1,7,6,6,7,1,2,1,1,7,6,1,7,1,4,6,3,1,6,6,1,6,4,6,4.28571428571429,3.16666666666667,2.83333333333333,5.5,1.3
"161",3,25,2,4,5,4,3,2,4,4,2,3,5,6,5,6,5,6,3,4,2,6,6,5,5,6,5,6,7,3,5,2,2,6,5,4,4,2,5,6,3,6,6,3,2,5,5,5,6,3.71428571428571,4.25,5.33333333333333,3.5,3.4
"162",3,24,1,1,1,1,1,1,1,1,5,5,3,3,4,4,4,3,4,3,3,4,2,7,4,7,2,2,2,4,4,5,2,4,4,4,4,2,5,4,4,4,5,4,4,3,1,5,5,1,3.75,4.16666666666667,4.33333333333333,5.1
"163",3,22,1,4,3,5,4,4,4,4,3,6,2,3,5,5,2,5,2,2,5,1,2,2,6,2,6,5,6,5,1,2,2,1,3,5,3,6,2,2,5,3,5,5,3,1,3,2,3,4,2.91666666666667,2.33333333333333,4.83333333333333,2.1
"164",3,61,2,5,5,3,5,5,5,5,1,7,1,1,1,1,7,1,1,7,7,7,7,7,1,7,1,7,4,4,1,1,1,1,1,4,1,7,1,1,4,1,1,7,7,1,7,1,4,4.71428571428571,3.5,1,4.5,4
"165",4,32,2,3,2,2,4,4,4,3,2,6,3,5,5,6,3,5,5,5,3,5,2,6,2,6,2,2,3,3,3,3,3,2,3,2,2,5,2,2,2,2,2,5,3,5,2,3,2,3.14285714285714,3.91666666666667,2.16666666666667,3.66666666666667,4.9
"166",2,30,1,4,4,5,5,4,3,4,7,7,6,6,6,7,6,7,6,6,6,7,7,6,5,6,6,7,6,7,7,7,7,7,7,7,6,6,7,6,6,7,7,6,7,7,6,6,6,4.14285714285714,5.41666666666667,6.66666666666667,5.5,4.2
"167",3,68,2,3,3,3,5,4,4,3,2,NA,2,6,7,6,6,6,6,6,6,5,3,4,5,3,5,5,5,6,1,5,1,1,6,4,3,7,3,5,4,2,4,5,5,2,5,4,5,3.57142857142857,4.90909090909091,3.33333333333333,4.66666666666667,2.8
"168",3,26,1,2,3,1,2,5,3,3,5,5,4,3,3,5,4,3,4,6,5,5,5,3,4,4,2,5,5,5,6,3,5,3,4,5,4,6,4,3,4,5,3,4,6,5,5,4,5,2.71428571428571,4.33333333333333,3.83333333333333,4.5,4
"169",3,51,1,4,4,3,5,5,5,5,5,7,3,5,6,6,7,6,4,7,7,6,7,7,7,5,7,4,6,7,6,5,7,7,4,3,7,5,6,4,6,4,3,2,3,3,3,4,2,4.42857142857143,4.91666666666667,5.33333333333333,3.83333333333333,3.9
"170",3,56,2,4,4,2,5,5,5,5,1,6,1,2,1,1,1,7,1,6,2,1,1,1,7,1,7,7,7,7,1,1,1,1,2,6,1,7,2,4,7,2,1,7,5,1,7,3,7,4.28571428571429,1.66666666666667,2,5.83333333333333,1
"171",2,30,1,4,5,3,4,4,4,4,4,7,6,5,6,6,6,6,6,5,5,7,6,6,7,6,4,6,6,7,5,7,5,6,6,6,6,5,6,6,4,6,6,5,6,6,6,7,6,4,4.91666666666667,6,4.66666666666667,3.9
"172",3,52,1,5,5,5,5,5,5,5,7,7,6,6,7,7,6,6,7,6,6,6,4,7,7,4,7,6,5,6,4,4,6,1,4,4,4,7,4,1,4,4,5,4,7,4,5,4,4,5,5.58333333333333,3,4.33333333333333,3.4
"173",7,31,1,3,1,3,4,5,3,2,1,7,1,2,1,4,1,1,1,4,3,4,4,1,4,1,6,7,7,4,1,1,2,1,4,5,1,7,1,1,5,2,2,4,4,1,4,4,4,3,2.5,1.66666666666667,4.83333333333333,1.8
"174",3,48,2,4,4,3,3,4,4,4,4,6,6,5,5,5,6,5,6,6,5,5,6,5,4,5,6,5,4,6,5,6,4,6,4,5,6,5,6,5,5,5,5,5,5,6,6,6,6,3.71428571428571,4.83333333333333,5.33333333333333,4.66666666666667,4
"175",3,25,2,1,1,1,4,4,2,2,3,6,2,3,5,6,6,2,6,6,6,6,6,6,2,5,2,6,6,2,3,2,5,2,2,3,2,6,2,2,3,3,2,5,4,5,1,4,3,2.14285714285714,4.75,2.16666666666667,4.5,4.3
"176",3,31,1,3,2,4,4,4,3,3,7,1,2,5,7,5,1,7,1,5,6,5,2,2,7,1,7,7,7,6,2,3,2,1,2,3,1,6,2,2,3,1,1,6,7,1,6,3,5,3.28571428571429,4.33333333333333,1.5,4.16666666666667,1.6
"177",3,36,1,1,1,1,5,5,5,1,2,5,1,6,6,1,1,5,1,1,3,1,1,3,6,1,7,7,6,5,1,1,2,1,4,4,1,7,1,1,4,1,1,1,6,7,7,4,6,2.71428571428571,2.41666666666667,1.5,3.83333333333333,1.7
